iter	Passed	Remaining
400	23752	5864
401	23813	5805
402	23870	5745
403	23923	5684
404	23975	5623
405	24026	5562
406	24077	5501
407	24131	5441
408	24183	5380
409	24235	5319
410	24290	5259
411	24343	5199
412	24394	5138
413	24446	5078
414	24499	5017
415	24550	4957
416	24610	4898
417	24671	4839
418	24724	4779
419	24775	4719
420	24829	4659
421	24881	4599
422	24933	4538
423	24986	4478
424	25039	4418
425	25090	4358
426	25142	4298
427	25194	4238
428	25245	4178
429	25300	4118
430	25353	4058
431	25404	3998
432	25456	3938
433	25507	3879
434	25558	3819
435	25623	3761
436	25681	3702
437	25744	3644
438	25805	3585
439	25861	3526
440	25915	3467
441	25980	3409
442	26041	3350
443	26100	3291
444	26153	3232
445	26204	3172
446	26256	3113
447	26311	3053
448	26372	2995
449	26439	2937
450	26505	2879
451	26556	2820
452	26627	2762
453	26679	2703
454	26733	2643
455	26785	2584
456	26842	2525
457	26903	2467
458	26961	2408
459	27018	2349
460	27069	2290
461	27130	2231
462	27194	2173
463	27251	2114
464	27303	2055
465	27366	1996
466	27420	1937
467	27484	1879
468	27536	1820
469	27597	1761
470	27661	1703
471	27720	1644
472	27780	1585
473	27840	1527
474	27894	1468
475	27946	1409
476	27999	1350
477	28050	1291
478	28115	1232
479	28185	1174
480	28242	1115
481	28293	1056
482	28350	997
483	28401	938
484	28452	879
485	28504	821
486	28555	762
487	28631	704
488	28695	645
489	28753	586
490	28804	527
491	28856	469
492	28912	410
493	28968	351
494	29019	293
495	29071	234
496	29125	175
497	29181	117
498	29245	58
499	29305	0
