owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
413116,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$610,$7600,Academy of Music,A Midsummer Night's Dream,1
413116,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$610,$7600,Academy of Music,La bohème,1
413116,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$610,$7600,Academy of Music,Lucia di Lammermoor,1
413116,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$610,$7600,Perelman Theater,Don Giovanni,1
413116,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$610,$7600,Perelman Theater,Riders & Empty the House,1
192196,2018-07-23 00:00:00,1,Phone,Ticketing,OP - US Mail,$551,$5000,Academy of Music,A Midsummer Night's Dream,1
192196,2018-07-23 00:00:00,1,Phone,Ticketing,OP - US Mail,$551,$5000,Academy of Music,La bohème,1
192196,2018-07-23 00:00:00,1,Phone,Ticketing,OP - US Mail,$551,$5000,Academy of Music,Lucia di Lammermoor,1
971916,2018-05-02 00:00:00,1,Phone,Ticketing,OP - US Mail,$1696,$5000,Academy of Music,A Midsummer Night's Dream,2
971916,2018-05-02 00:00:00,1,Phone,Ticketing,OP - US Mail,$1696,$5000,Academy of Music,La bohème,2
971916,2018-05-02 00:00:00,1,Phone,Ticketing,OP - US Mail,$1696,$5000,Academy of Music,Lucia di Lammermoor,2
971916,2018-05-02 00:00:00,1,Phone,Ticketing,OP - US Mail,$1696,$5000,Perelman Theater,Sky on Swings,2
48480,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$2652,$4000,Academy of Music,A Midsummer Night's Dream,4
48480,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$2652,$4000,Academy of Music,La bohème,4
48480,2018-05-16 00:00:00,1,Mail,Ticketing,OP - US Mail,$2652,$4000,Academy of Music,Lucia di Lammermoor,4
262155,2018-05-02 00:00:00,1,Mail,Ticketing,OP - US Mail,$774,$2500,Academy of Music,A Midsummer Night's Dream,2
262155,2018-05-02 00:00:00,1,Mail,Ticketing,OP - US Mail,$774,$2500,Academy of Music,La bohème,2
262155,2018-05-02 00:00:00,1,Mail,Ticketing,OP - US Mail,$774,$2500,Academy of Music,Lucia di Lammermoor,2
2357180,2018-04-22 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1446,$2500,Academy of Music,A Midsummer Night's Dream,2
2357180,2018-04-22 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1446,$2500,Academy of Music,La bohème,2
2357180,2018-04-22 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1446,$2500,Academy of Music,Lucia di Lammermoor,2
2376941,2018-12-03 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$1116,$1500,Academy of Music,A Midsummer Night's Dream,8
1435293,2018-04-13 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$990,$1250,Academy of Music,A Midsummer Night's Dream,2
1435293,2018-04-13 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$990,$1250,Academy of Music,La bohème,2
1435293,2018-04-13 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$990,$1250,Academy of Music,Lucia di Lammermoor,2
582956,2018-04-29 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$654,$1200,Academy of Music,A Midsummer Night's Dream,2
582956,2018-04-29 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$654,$1200,Academy of Music,La bohème,2
582956,2018-04-29 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$654,$1200,Academy of Music,Lucia di Lammermoor,2
10447,2018-04-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1326,$1004,Academy of Music,A Midsummer Night's Dream,2
10447,2018-04-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1326,$1004,Academy of Music,La bohème,2
10447,2018-04-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1326,$1004,Academy of Music,Lucia di Lammermoor,2
115167,2018-04-21 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$900,$1000,Academy of Music,A Midsummer Night's Dream,2
115167,2018-04-21 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$900,$1000,Academy of Music,La bohème,2
115167,2018-04-21 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$900,$1000,Academy of Music,Lucia di Lammermoor,2
221752,2018-05-17 00:00:00,1,Mail,Ticketing,OP - US Mail,$387,$1000,Academy of Music,A Midsummer Night's Dream,1
221752,2018-05-17 00:00:00,1,Mail,Ticketing,OP - US Mail,$387,$1000,Academy of Music,La bohème,1
221752,2018-05-17 00:00:00,1,Mail,Ticketing,OP - US Mail,$387,$1000,Academy of Music,Lucia di Lammermoor,1
272163,2018-05-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$1989,$1000,Academy of Music,A Midsummer Night's Dream,3
272163,2018-05-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$1989,$1000,Academy of Music,La bohème,3
272163,2018-05-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$1989,$1000,Academy of Music,Lucia di Lammermoor,3
676304,2018-08-13 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$540,$1000,Academy of Music,Lucia di Lammermoor,2
2375128,2018-12-06 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$258,$1000,Academy of Music,A Midsummer Night's Dream,2
2387291,2018-04-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$1070,$660,Academy of Music,A Midsummer Night's Dream,2
2387291,2018-04-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$1070,$660,Academy of Music,La bohème,2
2387291,2018-04-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$1070,$660,Academy of Music,Lucia di Lammermoor,2
2387291,2018-04-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$1070,$660,Perelman Theater,Don Giovanni,2
19487,2018-09-19 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$772,$600,Academy of Music,A Midsummer Night's Dream,3
19487,2018-09-19 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$772,$600,Academy of Music,La bohème,3
2136271,2018-04-20 00:00:00,1,Phone,Ticketing,OP - US Mail,$828,$525,Academy of Music,A Midsummer Night's Dream,4
2136271,2018-04-20 00:00:00,1,Phone,Ticketing,OP - US Mail,$828,$525,Academy of Music,La bohème,4
2136271,2018-04-20 00:00:00,1,Phone,Ticketing,OP - US Mail,$828,$525,Academy of Music,Lucia di Lammermoor,4
9161,2018-04-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$774,$500,Academy of Music,A Midsummer Night's Dream,2
9161,2018-04-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$774,$500,Academy of Music,La bohème,2
9161,2018-04-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$774,$500,Academy of Music,Lucia di Lammermoor,2
17339,2018-04-16 00:00:00,1,Phone,Ticketing,OP - US Mail,$1800,$500,Academy of Music,A Midsummer Night's Dream,4
17339,2018-04-16 00:00:00,1,Phone,Ticketing,OP - US Mail,$1800,$500,Academy of Music,La bohème,4
17339,2018-04-16 00:00:00,1,Phone,Ticketing,OP - US Mail,$1800,$500,Academy of Music,Lucia di Lammermoor,4
17638,2018-05-22 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$495,$500,Academy of Music,A Midsummer Night's Dream,1
17638,2018-05-22 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$495,$500,Academy of Music,La bohème,1
