owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2400170,2018-04-23 00:00:00,2019-05-23 00:00:00,SW116BW,,8-Foreign,2,4726.00
2396918,2018-01-19 00:00:00,2018-01-19 00:00:00,19425,Pennsylvania,2-Greater Philadelphia(70 mi.),U,4673.00
2399131,2018-04-02 00:00:00,,08043,New Jersey,1-Philadelphia City (20 mi.),3,4024.00
2398864,2018-03-21 00:00:00,2020-04-08 00:00:00,14062,New York,7-USA Balance,2,3464.00
2406141,2018-08-31 00:00:00,,194752722,Pennsylvania,2-Greater Philadelphia(70 mi.),3,3148.00
2401217,2018-06-04 00:00:00,,33040,Florida,7-USA Balance,5,3038.00
2399275,2018-04-05 00:00:00,,08107,New Jersey,1-Philadelphia City (20 mi.),3,2895.00
2396956,2018-01-22 00:00:00,,19148,Pennsylvania,1-Philadelphia City (20 mi.),4,2682.00
2400120,2018-04-24 00:00:00,2018-04-24 00:00:00,117952726,New York,5-NEC (140 mi. from Philly),U,2525.00
2398819,2018-03-19 00:00:00,,080343821,New Jersey,1-Philadelphia City (20 mi.),4,2510.00
2401454,2018-08-01 00:00:00,2019-12-31 00:00:00,02906,Rhode Island,7-USA Balance,4,2454.00
2396917,2018-01-19 00:00:00,2020-05-08 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),,2454.00
2398817,2018-03-18 00:00:00,2020-04-01 00:00:00,95134,California,7-USA Balance,4,2428.00
2375592,2018-08-27 00:00:00,2018-10-19 00:00:00,10021,New York,3-New York City (20 mi.),10,2348.00
2401724,2018-08-08 00:00:00,,19342,Pennsylvania,1-Philadelphia City (20 mi.),3,2346.00
2399201,2018-04-04 00:00:00,,19460,Pennsylvania,2-Greater Philadelphia(70 mi.),6,2337.00
45495,2018-05-17 00:00:00,1995-06-20 00:00:00,94111,California,7-USA Balance,5,2260.00
2407893,2018-10-07 00:00:00,,08544,New Jersey,2-Greater Philadelphia(70 mi.),U,2226.00
2387604,2018-02-16 00:00:00,2020-03-26 00:00:00,19104,Pennsylvania,1-Philadelphia City (20 mi.),U,2088.00
2398276,2018-02-23 00:00:00,,08085,New Jersey,1-Philadelphia City (20 mi.),3,2080.00
2398702,2018-03-09 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),U,2050.00
2398115,2018-02-16 00:00:00,,19121,Pennsylvania,1-Philadelphia City (20 mi.),U,1971.00
2398577,2018-03-06 00:00:00,,19104,Pennsylvania,1-Philadelphia City (20 mi.),3,1840.00
2418259,2018-04-09 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),4,1824.00
2398146,2018-02-17 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),5,1766.00
2399781,2018-04-16 00:00:00,,19002,Pennsylvania,1-Philadelphia City (20 mi.),8,1764.00
2408385,2018-12-08 00:00:00,2019-12-10 00:00:00,19446,Pennsylvania,2-Greater Philadelphia(70 mi.),2,1754.00
2401378,2018-07-24 00:00:00,,32502,Florida,7-USA Balance,,1600.00
2397516,2018-02-07 00:00:00,,08628,New Jersey,2-Greater Philadelphia(70 mi.),4,1584.00
2399307,2018-04-06 00:00:00,,19444,Pennsylvania,1-Philadelphia City (20 mi.),U,1579.00
2399349,2018-04-07 00:00:00,2019-08-20 00:00:00,19087,Pennsylvania,1-Philadelphia City (20 mi.),5,1558.00
2404809,2018-09-10 00:00:00,2018-11-16 00:00:00,19096,Pennsylvania,1-Philadelphia City (20 mi.),3,1546.00
2399765,2018-04-15 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),4,1540.00
2399886,2018-04-18 00:00:00,,19060,Pennsylvania,1-Philadelphia City (20 mi.),4,1535.00
2399116,2018-04-01 00:00:00,2018-05-10 00:00:00,08057,New Jersey,1-Philadelphia City (20 mi.),4,1530.00
2397191,2018-01-30 00:00:00,,20166,Virginia,6-NEC (210 mi. from Philly),4,1530.00
2398935,2018-03-25 00:00:00,2020-04-20 00:00:00,21076,Maryland,5-NEC (140 mi. from Philly),U,1499.00
2399419,2018-04-09 00:00:00,2018-04-09 00:00:00,17821,Pennsylvania,5-NEC (140 mi. from Philly),3,1482.00
2399822,2018-04-17 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),U,1397.00
2398728,2018-03-12 00:00:00,2018-05-07 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),5,1370.00
2402009,2018-08-23 00:00:00,2018-08-23 00:00:00,212022574,Maryland,5-NEC (140 mi. from Philly),3,1370.00
2399507,2018-04-10 00:00:00,,08234,New Jersey,2-Greater Philadelphia(70 mi.),3,1359.00
2398482,2018-03-10 00:00:00,,19128,Pennsylvania,1-Philadelphia City (20 mi.),3,1342.00
2399498,2018-07-09 00:00:00,2018-06-19 00:00:00,830141972,Wyoming,7-USA Balance,8,1334.00
2401427,2018-07-31 00:00:00,,18901,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1322.00
2401890,2018-08-19 00:00:00,,19129,Pennsylvania,1-Philadelphia City (20 mi.),4,1318.00
2396505,2018-01-01 00:00:00,2018-01-01 00:00:00,08081,New Jersey,1-Philadelphia City (20 mi.),6,1297.00
2377852,2018-07-10 00:00:00,,18930,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1286.00
2403891,2018-09-04 00:00:00,,201914105,Virginia,4-DC (20 mi.),4,1285.00
2398062,2018-02-15 00:00:00,,19041,Pennsylvania,1-Philadelphia City (20 mi.),6,1275.00
2408589,2018-12-20 00:00:00,,18064,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1272.00
2406820,2018-09-26 00:00:00,,19066,Pennsylvania,1-Philadelphia City (20 mi.),5,1261.00
2401393,2018-08-02 00:00:00,2019-12-30 00:00:00,19087,Pennsylvania,1-Philadelphia City (20 mi.),5,1250.00
2396549,2018-01-03 00:00:00,2018-01-03 00:00:00,08055,New Jersey,1-Philadelphia City (20 mi.),5,1248.00
2399656,2018-04-25 00:00:00,,19348,Pennsylvania,2-Greater Philadelphia(70 mi.),3,1206.00
2407942,2018-10-11 00:00:00,2020-01-25 00:00:00,19401,Pennsylvania,1-Philadelphia City (20 mi.),3,1202.00
2398774,2018-03-15 00:00:00,,19096,Pennsylvania,1-Philadelphia City (20 mi.),U,1201.00
2397186,2018-01-30 00:00:00,,07871,New Jersey,5-NEC (140 mi. from Philly),4,1200.00
2408071,2018-11-02 00:00:00,2018-11-02 00:00:00,18947,Pennsylvania,2-Greater Philadelphia(70 mi.),U,1196.00
2408432,2018-12-11 00:00:00,2018-12-11 00:00:00,19426,Pennsylvania,2-Greater Philadelphia(70 mi.),3,1196.00
2400594,2018-04-30 00:00:00,,19335,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1170.00
2404090,2018-09-05 00:00:00,2020-03-25 00:00:00,19118,Pennsylvania,1-Philadelphia City (20 mi.),6,1168.00
2397686,2018-02-10 00:00:00,2020-05-06 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),4,1156.00
2401222,2018-06-05 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),3,1134.00
2405850,2018-09-20 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),U,1127.00
2376941,2018-12-03 00:00:00,2018-12-03 00:00:00,60654,Illinois,7-USA Balance,6,1116.00
2398951,2018-03-26 00:00:00,,60622,Illinois,7-USA Balance,U,1102.00
2398797,2018-03-17 00:00:00,,19063,Pennsylvania,1-Philadelphia City (20 mi.),4,1096.00
2402027,2018-08-26 00:00:00,,19030,Pennsylvania,2-Greater Philadelphia(70 mi.),U,1095.00
2396538,2018-01-03 00:00:00,,19335,Pennsylvania,2-Greater Philadelphia(70 mi.),2,1094.00
2399759,2018-04-15 00:00:00,,19096,Pennsylvania,1-Philadelphia City (20 mi.),4,1090.00
2398706,2018-03-10 00:00:00,,19601,Pennsylvania,2-Greater Philadelphia(70 mi.),2,1080.00
2374376,2018-06-06 00:00:00,2018-12-31 00:00:00,100234192,New York,3-New York City (20 mi.),5,1063.00
2401725,2018-08-08 00:00:00,,94110,California,7-USA Balance,3,1062.00
2401693,2018-08-07 00:00:00,,19145,Pennsylvania,1-Philadelphia City (20 mi.),,1056.00
2398484,2018-03-04 00:00:00,,18825,Pennsylvania,5-NEC (140 mi. from Philly),1,1050.00
2398933,2018-03-25 00:00:00,,47401,Indiana,7-USA Balance,5,1035.00
2397175,2018-01-30 00:00:00,2019-11-25 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),4,1034.00
2408457,2018-02-21 00:00:00,,19002,Pennsylvania,1-Philadelphia City (20 mi.),7,1032.00
2408397,2018-12-09 00:00:00,,10011,New York,3-New York City (20 mi.),6,1027.00
2399966,2018-04-19 00:00:00,2020-05-04 00:00:00,19063,Pennsylvania,1-Philadelphia City (20 mi.),4,1026.00
2401175,2018-05-20 00:00:00,,19118,Pennsylvania,1-Philadelphia City (20 mi.),2,1023.00
2400359,2018-04-26 00:00:00,,19087,Pennsylvania,1-Philadelphia City (20 mi.),5,1020.00
2399333,2018-04-06 00:00:00,,19008,Pennsylvania,1-Philadelphia City (20 mi.),4,1018.00
70683,2018-03-27 00:00:00,2018-03-28 00:00:00,19380,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1012.00
2399148,2018-04-02 00:00:00,,773802215,Texas,7-USA Balance,U,1010.00
2408502,2018-12-15 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),1,1004.00
2400188,2018-04-23 00:00:00,,19087,Pennsylvania,1-Philadelphia City (20 mi.),,1000.00
2400190,2018-04-23 00:00:00,,19806,Delaware,2-Greater Philadelphia(70 mi.),U,982.00
2405989,2018-09-21 00:00:00,,32790,Florida,7-USA Balance,3,979.00
2398449,2018-03-02 00:00:00,,08057,New Jersey,1-Philadelphia City (20 mi.),5,972.00
2396638,2018-01-10 00:00:00,2018-01-10 00:00:00,18045,Pennsylvania,2-Greater Philadelphia(70 mi.),3,972.00
2399049,2018-03-28 00:00:00,,19004,Pennsylvania,1-Philadelphia City (20 mi.),6,960.00
2401577,2018-08-02 00:00:00,,78209,Texas,7-USA Balance,,960.00
2397979,2018-02-12 00:00:00,,20191,Virginia,4-DC (20 mi.),5,958.00
2396949,2018-01-22 00:00:00,,19473,Pennsylvania,2-Greater Philadelphia(70 mi.),4,956.00
2399121,2018-04-01 00:00:00,,19808,Delaware,2-Greater Philadelphia(70 mi.),3,956.00
2416972,2018-04-05 00:00:00,2019-12-02 00:00:00,08054,New Jersey,1-Philadelphia City (20 mi.),4,952.00
2408533,2018-12-17 00:00:00,2020-04-21 00:00:00,19128,Pennsylvania,1-Philadelphia City (20 mi.),3,948.00
2398761,2018-03-14 00:00:00,2019-11-11 00:00:00,08012,New Jersey,1-Philadelphia City (20 mi.),3,947.00
2399087,2018-05-04 00:00:00,2018-08-20 00:00:00,10022,New York,3-New York City (20 mi.),7,945.00
2416330,2018-09-12 00:00:00,2020-05-31 00:00:00,190661605,Pennsylvania,1-Philadelphia City (20 mi.),6,945.00
2401618,2018-08-04 00:00:00,2018-08-04 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),5,944.00
2397600,2018-02-08 00:00:00,,19002,Pennsylvania,1-Philadelphia City (20 mi.),4,934.00
2401177,2018-05-20 00:00:00,,60610,Illinois,7-USA Balance,,930.00
2399760,2018-04-15 00:00:00,,07304,New Jersey,3-New York City (20 mi.),3,922.00
2401584,2018-09-10 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),U,922.00
2398610,2018-03-07 00:00:00,,08534,New Jersey,2-Greater Philadelphia(70 mi.),4,920.00
2403715,2018-09-04 00:00:00,,19038,Pennsylvania,1-Philadelphia City (20 mi.),4,920.00
2398734,2018-03-12 00:00:00,,19040,Pennsylvania,1-Philadelphia City (20 mi.),5,920.00
2399736,2018-04-15 00:00:00,2018-04-15 00:00:00,19072,Pennsylvania,1-Philadelphia City (20 mi.),5,920.00
2399692,2018-04-14 00:00:00,,773802215,Texas,7-USA Balance,U,920.00
2412151,2018-04-26 00:00:00,2019-04-19 00:00:00,08054,New Jersey,1-Philadelphia City (20 mi.),3,918.00
2399876,2018-04-18 00:00:00,,18036,Pennsylvania,2-Greater Philadelphia(70 mi.),3,918.00
2399614,2018-04-12 00:00:00,,19342,Pennsylvania,1-Philadelphia City (20 mi.),5,918.00
2401392,2018-07-25 00:00:00,2019-08-18 00:00:00,20016,D.C.,4-DC (20 mi.),6,918.00
2398737,2018-06-21 00:00:00,,20902,Maryland,4-DC (20 mi.),4,918.00
2408024,2018-10-26 00:00:00,,212174231,Maryland,5-NEC (140 mi. from Philly),4,916.00
2398350,2018-02-28 00:00:00,2020-03-05 00:00:00,19380,Pennsylvania,2-Greater Philadelphia(70 mi.),4,910.00
2400363,2018-04-26 00:00:00,2018-04-26 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),2,908.00
2398047,2018-02-14 00:00:00,,11217,New York,3-New York City (20 mi.),4,903.00
2408013,2018-10-24 00:00:00,,08077,New Jersey,1-Philadelphia City (20 mi.),3,900.00
2401084,2018-05-10 00:00:00,,19508,Pennsylvania,2-Greater Philadelphia(70 mi.),2,900.00
2402077,2018-08-26 00:00:00,,21224,Maryland,5-NEC (140 mi. from Philly),3,900.00
2399722,2018-04-15 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),4,892.00
2398767,2018-03-15 00:00:00,,19406,Pennsylvania,1-Philadelphia City (20 mi.),,890.00
2405380,2018-09-17 00:00:00,,19152,Pennsylvania,1-Philadelphia City (20 mi.),U,889.00
2401445,2018-08-01 00:00:00,,07755,New Jersey,2-Greater Philadelphia(70 mi.),U,884.00
2399273,2018-04-05 00:00:00,,18976,Pennsylvania,2-Greater Philadelphia(70 mi.),5,880.00
2399052,2018-03-28 00:00:00,2020-03-25 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),U,872.00
2398087,2018-02-15 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),4,866.00
131305,2018-08-04 00:00:00,2020-01-13 00:00:00,19083,Pennsylvania,1-Philadelphia City (20 mi.),3,846.00
2396655,2018-01-11 00:00:00,,18017,Pennsylvania,2-Greater Philadelphia(70 mi.),4,840.00
2399999,2018-04-20 00:00:00,,19010,Pennsylvania,1-Philadelphia City (20 mi.),,840.00
2399477,2018-04-10 00:00:00,,19085,Pennsylvania,1-Philadelphia City (20 mi.),6,840.00
2398798,2018-03-17 00:00:00,,19087,Pennsylvania,1-Philadelphia City (20 mi.),,840.00
2406380,2018-09-25 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),1,835.00
2404948,2018-09-11 00:00:00,,08062,New Jersey,1-Philadelphia City (20 mi.),5,834.00
2402104,2018-08-27 00:00:00,,19119,Pennsylvania,1-Philadelphia City (20 mi.),4,829.00
2401162,2018-05-18 00:00:00,,11201,New York,3-New York City (20 mi.),,820.00
2408190,2018-11-24 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),4,820.00
2400261,2018-04-24 00:00:00,,91403,California,7-USA Balance,,820.00
2417192,2018-12-19 00:00:00,2019-12-17 00:00:00,19073,Pennsylvania,1-Philadelphia City (20 mi.),5,807.00
2396925,2018-01-20 00:00:00,,19041,Pennsylvania,1-Philadelphia City (20 mi.),5,800.00
2401203,2018-05-29 00:00:00,2018-11-28 00:00:00,22203,Virginia,4-DC (20 mi.),3,800.00
2400462,2018-04-27 00:00:00,,08057,New Jersey,1-Philadelphia City (20 mi.),,797.00
2408718,2018-12-26 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),U,795.00
2404940,2018-09-17 00:00:00,2019-05-01 00:00:00,19085,Pennsylvania,1-Philadelphia City (20 mi.),3,790.00
2402148,2018-08-28 00:00:00,2018-08-28 00:00:00,32803,Florida,7-USA Balance,3,790.00
45578,2018-04-10 00:00:00,2018-08-21 00:00:00,17603,Pennsylvania,2-Greater Philadelphia(70 mi.),4,786.00
2396584,2018-01-06 00:00:00,,191192444,Pennsylvania,1-Philadelphia City (20 mi.),4,786.00
2401096,2018-05-12 00:00:00,2018-05-12 00:00:00,19437,Pennsylvania,1-Philadelphia City (20 mi.),4,783.00
2397218,2018-01-31 00:00:00,,19148,Pennsylvania,1-Philadelphia City (20 mi.),1,776.00
2404739,2018-09-09 00:00:00,,19317,Pennsylvania,2-Greater Philadelphia(70 mi.),4,776.00
2401373,2018-07-24 00:00:00,,19807,Delaware,2-Greater Philadelphia(70 mi.),6,772.00
2399784,2018-04-16 00:00:00,,08088,New Jersey,2-Greater Philadelphia(70 mi.),4,768.00
2405668,2018-09-19 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),U,765.00
773839,2018-01-14 00:00:00,,038616507,New Hampshire,7-USA Balance,4,760.00
2397104,2018-01-28 00:00:00,,07307,New Jersey,3-New York City (20 mi.),3,759.00
2405036,2018-09-12 00:00:00,2019-05-13 00:00:00,12513,New York,6-NEC (210 mi. from Philly),4,756.00
2401110,2018-05-14 00:00:00,2018-05-14 00:00:00,33139,Florida,7-USA Balance,6,756.00
2412984,2018-01-16 00:00:00,2018-07-16 00:00:00,75219,Texas,7-USA Balance,5,755.00
2399130,2018-04-02 00:00:00,,19129,Pennsylvania,1-Philadelphia City (20 mi.),5,748.00
