owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
8708,2017-03-27 00:00:00,1,Phone,Ticketing,OP - US Mail,$1298,$7500,Academy of Music,Carmen,3
8708,2017-03-27 00:00:00,1,Phone,Ticketing,OP - US Mail,$1298,$7500,Academy of Music,The Magic Flute,3
8708,2017-03-27 00:00:00,1,Phone,Ticketing,OP - US Mail,$1298,$7500,Academy of Music,Written on Skin,2
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,Academy of Music,Carmen,1
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,Academy of Music,The Magic Flute,1
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,Academy of Music,Written on Skin,1
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,Garden Restaurant,Performance Reception Passes,1
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,Perelman Theater,Elizabeth Cree,1
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,Philadelphia Museum of Art,War Stories,1
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,The Barnes Foundation,The Wake World,1
413116,2017-04-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$655,$7339,The Wilma Theater,We Shall Not Be Moved,1
900146,2017-03-10 00:00:00,1,Phone,Ticketing,Mobile App Ticket,$900,$5000,Academy of Music,The Magic Flute,2
900146,2017-03-10 00:00:00,1,Phone,Ticketing,Mobile App Ticket,$900,$5000,Garden Restaurant,Performance Reception Passes,2
900146,2017-03-10 00:00:00,1,Phone,Ticketing,Mobile App Ticket,$900,$5000,Perelman Theater,Elizabeth Cree,2
900146,2017-03-10 00:00:00,1,Phone,Ticketing,Mobile App Ticket,$900,$5000,Perelman Theater,O17 Festival Artist,2
900146,2017-03-10 00:00:00,1,Phone,Ticketing,Mobile App Ticket,$900,$5000,Philadelphia Museum of Art,War Stories,2
900146,2017-03-10 00:00:00,1,Phone,Ticketing,Mobile App Ticket,$900,$5000,The Barnes Foundation,The Wake World,2
900146,2017-03-10 00:00:00,1,Phone,Ticketing,Mobile App Ticket,$900,$5000,The Wilma Theater,We Shall Not Be Moved,2
971916,2017-04-14 00:00:00,1,Phone,Ticketing,OP - US Mail,$1612,$5000,Academy of Music,Carmen,2
971916,2017-04-14 00:00:00,1,Phone,Ticketing,OP - US Mail,$1612,$5000,Academy of Music,The Magic Flute,2
971916,2017-04-14 00:00:00,1,Phone,Ticketing,OP - US Mail,$1612,$5000,Academy of Music,Written on Skin,2
