owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2410714,2019-02-20 00:00:00,2020-04-24 00:00:00,19446,Pennsylvania,2-Greater Philadelphia(70 mi.),5,4656.00
2403288,2019-04-28 00:00:00,2020-04-13 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),U,3702.00
2412746,2019-05-03 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),U,3059.00
2412976,2019-06-06 00:00:00,,19123,Pennsylvania,1-Philadelphia City (20 mi.),5,2840.00
2410352,2019-02-10 00:00:00,,19064,Pennsylvania,1-Philadelphia City (20 mi.),5,2835.00
2411925,2019-04-11 00:00:00,2020-03-26 00:00:00,19348,Pennsylvania,2-Greater Philadelphia(70 mi.),4,2658.00
2410663,2019-02-17 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),U,2149.00
2414530,2019-09-04 00:00:00,,19355,Pennsylvania,2-Greater Philadelphia(70 mi.),4,2136.00
2414767,2019-09-09 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),U,1950.00
2412412,2019-04-26 00:00:00,,19038,Pennsylvania,1-Philadelphia City (20 mi.),U,1872.00
2412450,2019-04-27 00:00:00,2020-03-30 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),5,1772.00
2414783,2019-09-09 00:00:00,2019-09-09 00:00:00,76147,Texas,7-USA Balance,U,1752.00
2413124,2019-07-03 00:00:00,2020-05-31 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),3,1700.00
2411775,2019-04-07 00:00:00,2019-05-07 00:00:00,19096,Pennsylvania,1-Philadelphia City (20 mi.),2,1647.00
2412154,2019-04-19 00:00:00,,19317,Pennsylvania,2-Greater Philadelphia(70 mi.),5,1592.00
2409687,2019-01-24 00:00:00,2019-04-29 00:00:00,19086,Pennsylvania,1-Philadelphia City (20 mi.),4,1577.00
2411062,2019-03-17 00:00:00,,086482583,New Jersey,2-Greater Philadelphia(70 mi.),4,1440.00
2413450,2019-07-29 00:00:00,,08055,New Jersey,1-Philadelphia City (20 mi.),3,1432.00
2410642,2019-02-16 00:00:00,,08221,New Jersey,2-Greater Philadelphia(70 mi.),3,1422.00
2409611,2019-01-23 00:00:00,2019-03-16 00:00:00,07712,New Jersey,2-Greater Philadelphia(70 mi.),5,1418.00
1257996,2019-01-29 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),5,1386.00
2410743,2019-03-03 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),4,1348.00
2412285,2019-04-23 00:00:00,,19067,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1246.00
2411812,2019-04-08 00:00:00,2019-04-11 00:00:00,18444,Pennsylvania,5-NEC (140 mi. from Philly),2,1212.00
2410476,2019-02-13 00:00:00,2020-03-27 00:00:00,08558,New Jersey,2-Greater Philadelphia(70 mi.),5,1174.00
2412306,2019-04-24 00:00:00,2019-05-06 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),,1138.00
2408822,2019-01-04 00:00:00,,19342,Pennsylvania,1-Philadelphia City (20 mi.),U,1136.00
