owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2385784,2016-02-11 00:00:00,2015-10-23 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),U,7669.00
2375906,2016-08-31 00:00:00,2016-12-12 00:00:00,19130,Pennsylvania,1-Philadelphia City (20 mi.),1,7434.00
2371542,2016-01-08 00:00:00,2016-12-20 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),4,6416.00
2373647,2016-04-22 00:00:00,2016-04-28 00:00:00,19118,Pennsylvania,1-Philadelphia City (20 mi.),5,5719.00
2371903,2016-01-25 00:00:00,2020-04-24 00:00:00,19465,Pennsylvania,2-Greater Philadelphia(70 mi.),4,5470.00
2373959,2016-05-14 00:00:00,,08033,New Jersey,1-Philadelphia City (20 mi.),5,5420.00
1265050,2016-07-29 00:00:00,2008-01-24 00:00:00,19141,Pennsylvania,1-Philadelphia City (20 mi.),3,5307.00
2373160,2016-03-23 00:00:00,2020-03-30 00:00:00,08530,New Jersey,2-Greater Philadelphia(70 mi.),U,5044.00
2371721,2016-01-18 00:00:00,2020-03-30 00:00:00,22305,Virginia,4-DC (20 mi.),2,5044.00
2383470,2016-12-05 00:00:00,2020-03-30 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),4,4979.00
2373220,2016-04-01 00:00:00,2017-03-23 00:00:00,18974,Pennsylvania,1-Philadelphia City (20 mi.),5,4704.00
2372442,2016-09-23 00:00:00,2020-04-24 00:00:00,19134,Pennsylvania,1-Philadelphia City (20 mi.),5,4578.00
2392674,2016-09-12 00:00:00,2018-08-06 00:00:00,19312,Pennsylvania,1-Philadelphia City (20 mi.),2,4538.00
2379558,2016-09-19 00:00:00,2017-03-27 00:00:00,19107,Pennsylvania,1-Philadelphia City (20 mi.),1,4379.00
2374653,2016-07-11 00:00:00,,19026,Pennsylvania,1-Philadelphia City (20 mi.),3,4316.00
2375899,2016-08-31 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),3,4166.00
2387659,2016-09-29 00:00:00,,97219,Oregon,7-USA Balance,4,3914.00
2372160,2016-01-31 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),5,3855.20
501981,2016-09-26 00:00:00,2020-01-14 00:00:00,193331234,Pennsylvania,1-Philadelphia City (20 mi.),6,3754.00
2378310,2016-08-15 00:00:00,2016-12-08 00:00:00,10570,New York,5-NEC (140 mi. from Philly),5,3450.00
2375128,2016-08-07 00:00:00,2017-03-01 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),6,3136.00
2371586,2016-01-09 00:00:00,2016-01-09 00:00:00,19702,Delaware,2-Greater Philadelphia(70 mi.),4,3026.00
2377757,2016-09-09 00:00:00,2018-05-07 00:00:00,19010,Pennsylvania,1-Philadelphia City (20 mi.),4,2900.00
2372629,2016-02-10 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),5,2898.00
2374705,2016-07-20 00:00:00,2016-07-22 00:00:00,18940,Pennsylvania,2-Greater Philadelphia(70 mi.),3,2846.00
2373486,2016-04-21 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),U,2810.00
2375762,2016-08-24 00:00:00,2016-08-24 00:00:00,90403,California,7-USA Balance,5,2750.00
2380071,2016-09-23 00:00:00,2020-03-30 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),3,2686.24
2375231,2016-08-11 00:00:00,2016-08-11 00:00:00,19335,Pennsylvania,2-Greater Philadelphia(70 mi.),4,2666.00
2377478,2016-09-08 00:00:00,2017-09-05 00:00:00,19038,Pennsylvania,1-Philadelphia City (20 mi.),3,2628.00
2395539,2016-11-07 00:00:00,2017-11-19 00:00:00,19144,Pennsylvania,1-Philadelphia City (20 mi.),3,2614.00
2385337,2016-09-07 00:00:00,2016-09-07 00:00:00,19102,Pennsylvania,1-Philadelphia City (20 mi.),4,2591.80
2375945,2016-09-12 00:00:00,,19518,Pennsylvania,2-Greater Philadelphia(70 mi.),3,2525.00
2376009,2016-09-05 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),3,2502.00
2296389,2016-07-25 00:00:00,2015-08-25 00:00:00,20120,Virginia,6-NEC (210 mi. from Philly),4,2382.00
2373069,2016-02-02 00:00:00,2018-08-06 00:00:00,19107,Pennsylvania,1-Philadelphia City (20 mi.),5,2268.00
2371516,2016-01-05 00:00:00,2019-04-02 00:00:00,19301,Pennsylvania,1-Philadelphia City (20 mi.),4,2260.00
2374799,2016-08-01 00:00:00,2020-03-26 00:00:00,08204,New Jersey,2-Greater Philadelphia(70 mi.),U,2251.00
2375818,2016-08-28 00:00:00,2020-05-06 00:00:00,18901,Pennsylvania,2-Greater Philadelphia(70 mi.),5,2245.00
2373039,2016-03-04 00:00:00,,19119,Pennsylvania,1-Philadelphia City (20 mi.),1,2239.00
2383358,2016-11-28 00:00:00,2016-11-28 00:00:00,08260,New Jersey,2-Greater Philadelphia(70 mi.),2,2211.00
2375234,2016-08-11 00:00:00,,19090,Pennsylvania,1-Philadelphia City (20 mi.),3,2155.00
2374624,2016-06-30 00:00:00,,19428,Pennsylvania,1-Philadelphia City (20 mi.),3,2150.00
2411947,2016-08-02 00:00:00,2019-09-10 00:00:00,19081,Pennsylvania,1-Philadelphia City (20 mi.),4,2143.00
2373434,2016-04-19 00:00:00,,07078,New Jersey,2-Greater Philadelphia(70 mi.),4,2098.00
2388486,2016-08-18 00:00:00,2018-09-15 00:00:00,012301713,Massachusetts,6-NEC (210 mi. from Philly),3,2082.00
2380192,2016-09-25 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),5,2070.00
2381357,2016-09-28 00:00:00,2018-05-25 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),2,2061.00
2373412,2016-04-17 00:00:00,,19063,Pennsylvania,1-Philadelphia City (20 mi.),3,2039.00
2378601,2016-09-14 00:00:00,2019-09-12 00:00:00,19341,Pennsylvania,2-Greater Philadelphia(70 mi.),3,2039.00
2383620,2016-12-14 00:00:00,2016-12-14 00:00:00,19382,Pennsylvania,2-Greater Philadelphia(70 mi.),4,2038.00
2027963,2016-02-29 00:00:00,2014-08-15 00:00:00,19003,Pennsylvania,1-Philadelphia City (20 mi.),1,2021.00
1904665,2016-07-13 00:00:00,,19095,Pennsylvania,1-Philadelphia City (20 mi.),3,1971.00
2371598,2016-01-10 00:00:00,,082041723,New Jersey,2-Greater Philadelphia(70 mi.),5,1944.00
2382111,2016-10-01 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),3,1942.00
2372384,2016-02-04 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),3,1889.00
2376176,2016-09-07 00:00:00,2020-04-16 00:00:00,08052,New Jersey,1-Philadelphia City (20 mi.),U,1885.00
2371502,2016-01-05 00:00:00,,45750,Ohio,7-USA Balance,3,1872.00
2374853,2016-08-01 00:00:00,2020-05-01 00:00:00,17353,Pennsylvania,5-NEC (140 mi. from Philly),5,1863.00
2375145,2016-08-08 00:00:00,,18974,Pennsylvania,1-Philadelphia City (20 mi.),4,1850.00
2374813,2016-08-01 00:00:00,2018-10-01 00:00:00,20815,Maryland,4-DC (20 mi.),6,1849.00
2372946,2016-03-01 00:00:00,2016-05-06 00:00:00,19038,Pennsylvania,1-Philadelphia City (20 mi.),5,1848.00
2373493,2016-04-21 00:00:00,,18966,Pennsylvania,1-Philadelphia City (20 mi.),4,1843.00
142654,2016-02-19 00:00:00,1993-05-01 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),6,1837.00
2376016,2016-09-05 00:00:00,2016-09-05 00:00:00,20009,D.C.,4-DC (20 mi.),4,1834.00
2372837,2016-02-19 00:00:00,2019-02-11 00:00:00,20191,Virginia,4-DC (20 mi.),5,1818.00
2375901,2016-08-31 00:00:00,2020-03-24 00:00:00,19085,Pennsylvania,1-Philadelphia City (20 mi.),5,1813.00
2375881,2016-08-30 00:00:00,,19701,Delaware,2-Greater Philadelphia(70 mi.),4,1812.00
2379782,2016-09-21 00:00:00,2018-12-09 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),4,1799.00
2375264,2016-08-13 00:00:00,2018-07-31 00:00:00,17257,Pennsylvania,5-NEC (140 mi. from Philly),3,1784.00
2388865,2016-01-13 00:00:00,2016-01-13 00:00:00,19087,Pennsylvania,1-Philadelphia City (20 mi.),4,1738.00
2377522,2016-09-08 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),4,1730.00
2380419,2016-09-25 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),2,1718.00
2396551,2016-08-22 00:00:00,,08055,New Jersey,1-Philadelphia City (20 mi.),4,1707.00
2372374,2016-02-04 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),4,1696.00
2372715,2016-02-29 00:00:00,2016-07-25 00:00:00,08003,New Jersey,1-Philadelphia City (20 mi.),3,1665.00
2376229,2016-09-07 00:00:00,2016-09-07 00:00:00,19041,Pennsylvania,1-Philadelphia City (20 mi.),5,1658.00
2401024,2016-09-10 00:00:00,2018-05-08 00:00:00,19118,Pennsylvania,1-Philadelphia City (20 mi.),4,1652.00
2377665,2016-09-09 00:00:00,2016-10-19 00:00:00,19128,Pennsylvania,1-Philadelphia City (20 mi.),4,1632.00
2383122,2016-11-07 00:00:00,,16875,Pennsylvania,6-NEC (210 mi. from Philly),4,1626.00
2379376,2016-09-18 00:00:00,,19382,Pennsylvania,2-Greater Philadelphia(70 mi.),3,1620.00
2372959,2016-03-01 00:00:00,2016-07-06 00:00:00,19904,Delaware,2-Greater Philadelphia(70 mi.),2,1617.00
2373477,2016-04-21 00:00:00,,08081,New Jersey,1-Philadelphia City (20 mi.),4,1616.00
2372213,2016-02-02 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),4,1614.00
2378365,2016-09-13 00:00:00,,19422,Pennsylvania,1-Philadelphia City (20 mi.),6,1610.00
2371318,2016-02-05 00:00:00,,23182,Virginia,7-USA Balance,U,1590.00
972410,2016-01-19 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),3,1584.00
2388900,2016-07-20 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),4,1584.00
2383869,2016-12-30 00:00:00,,08515,New Jersey,2-Greater Philadelphia(70 mi.),5,1578.00
2375730,2016-08-23 00:00:00,,75017,,8-Foreign,2,1574.00
2408343,2016-12-11 00:00:00,,19083,Pennsylvania,1-Philadelphia City (20 mi.),4,1556.00
2374638,2016-07-07 00:00:00,,19125,Pennsylvania,1-Philadelphia City (20 mi.),3,1556.00
2372395,2016-02-04 00:00:00,,19038,Pennsylvania,1-Philadelphia City (20 mi.),4,1552.00
1952,2016-02-11 00:00:00,,19096,Pennsylvania,1-Philadelphia City (20 mi.),5,1544.00
2374771,2016-07-30 00:00:00,2016-07-30 00:00:00,080751898,New Jersey,1-Philadelphia City (20 mi.),5,1540.00
2383546,2016-12-09 00:00:00,2016-12-09 00:00:00,02540,Massachusetts,7-USA Balance,4,1538.00
2234203,2016-02-15 00:00:00,2017-03-30 00:00:00,89511,Nevada,7-USA Balance,7,1538.00
2387996,2016-08-01 00:00:00,,45202,Ohio,7-USA Balance,2,1537.00
2378974,2016-09-16 00:00:00,2016-09-16 00:00:00,08080,New Jersey,1-Philadelphia City (20 mi.),4,1514.00
2371612,2016-01-11 00:00:00,,19119,Pennsylvania,1-Philadelphia City (20 mi.),3,1500.00
2372551,2016-02-08 00:00:00,2019-03-19 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),6,1495.00
2378609,2016-09-14 00:00:00,2016-09-14 00:00:00,18104,Pennsylvania,2-Greater Philadelphia(70 mi.),U,1493.00
2371458,2016-01-03 00:00:00,2020-03-25 00:00:00,08648,New Jersey,2-Greater Philadelphia(70 mi.),3,1464.00
2374800,2016-08-01 00:00:00,,94105,California,7-USA Balance,2,1459.00
2371480,2016-01-05 00:00:00,,07093,New Jersey,3-New York City (20 mi.),U,1446.00
2381349,2016-09-28 00:00:00,,19129,Pennsylvania,1-Philadelphia City (20 mi.),5,1445.00
2375917,2016-09-01 00:00:00,,19149,Pennsylvania,1-Philadelphia City (20 mi.),3,1440.00
2383154,2016-11-14 00:00:00,,10128,New York,3-New York City (20 mi.),X,1432.00
2371742,2016-02-08 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),1,1430.00
2387988,2016-08-24 00:00:00,2017-06-01 00:00:00,190962506,Pennsylvania,1-Philadelphia City (20 mi.),5,1414.00
2375952,2016-09-02 00:00:00,,20852,Maryland,4-DC (20 mi.),5,1414.00
722801,2016-01-12 00:00:00,2016-12-27 00:00:00,222063375,Virginia,4-DC (20 mi.),4,1397.00
2372819,2016-05-05 00:00:00,2016-11-16 00:00:00,19460,Pennsylvania,2-Greater Philadelphia(70 mi.),U,1378.00
2380768,2016-09-26 00:00:00,,10028,New York,3-New York City (20 mi.),3,1375.00
2376006,2016-09-05 00:00:00,,19096,Pennsylvania,1-Philadelphia City (20 mi.),5,1374.00
2379663,2016-09-20 00:00:00,,08505,New Jersey,2-Greater Philadelphia(70 mi.),4,1373.00
2096225,2016-08-02 00:00:00,,19152,Pennsylvania,1-Philadelphia City (20 mi.),U,1373.00
2383427,2016-12-01 00:00:00,,19312,Pennsylvania,1-Philadelphia City (20 mi.),5,1356.00
2373117,2016-03-20 00:00:00,2017-06-13 00:00:00,19041,Pennsylvania,1-Philadelphia City (20 mi.),6,1340.00
2389069,2016-01-11 00:00:00,2020-07-29 00:00:00,19073,Pennsylvania,1-Philadelphia City (20 mi.),5,1339.00
2372435,2016-02-05 00:00:00,2020-03-11 00:00:00,20009,D.C.,4-DC (20 mi.),3,1339.00
2378100,2016-09-11 00:00:00,,19801,Delaware,2-Greater Philadelphia(70 mi.),3,1337.00
2375162,2016-08-08 00:00:00,2016-10-18 00:00:00,19133,Pennsylvania,1-Philadelphia City (20 mi.),3,1334.00
2373860,2016-03-04 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),U,1325.00
2371888,2016-01-24 00:00:00,,19095,Pennsylvania,1-Philadelphia City (20 mi.),4,1324.00
2383796,2016-12-23 00:00:00,,08033,New Jersey,1-Philadelphia City (20 mi.),4,1302.00
2379412,2016-09-18 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),4,1300.00
396790,2016-04-04 00:00:00,,191143150,Pennsylvania,1-Philadelphia City (20 mi.),3,1294.00
2379808,2016-09-21 00:00:00,,19352,Pennsylvania,2-Greater Philadelphia(70 mi.),6,1284.00
2375949,2016-09-02 00:00:00,2018-04-17 00:00:00,10024,New York,3-New York City (20 mi.),5,1278.00
2373093,2016-03-16 00:00:00,,08108,New Jersey,1-Philadelphia City (20 mi.),2,1275.00
2373892,2016-05-06 00:00:00,,18902,Pennsylvania,2-Greater Philadelphia(70 mi.),2,1274.00
2383982,2016-09-15 00:00:00,,08036,New Jersey,1-Philadelphia City (20 mi.),4,1273.00
2379996,2016-09-22 00:00:00,,19006,Pennsylvania,1-Philadelphia City (20 mi.),4,1271.00
2382034,2016-10-01 00:00:00,,08003,New Jersey,1-Philadelphia City (20 mi.),3,1268.00
2380164,2016-09-23 00:00:00,,22015,Virginia,4-DC (20 mi.),2,1266.00
2372632,2016-02-10 00:00:00,,19072,Pennsylvania,1-Philadelphia City (20 mi.),4,1265.00
2379350,2016-09-18 00:00:00,2016-11-30 00:00:00,19382,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1255.00
2375972,2016-09-03 00:00:00,2020-04-13 00:00:00,19114,Pennsylvania,1-Philadelphia City (20 mi.),3,1254.00
2373003,2016-05-07 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),2,1250.00
2383873,2016-12-31 00:00:00,2016-12-31 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),1,1246.00
2372553,2016-02-08 00:00:00,,08043,New Jersey,1-Philadelphia City (20 mi.),6,1244.00
2377840,2016-09-10 00:00:00,,18976,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1242.00
2383036,2016-09-23 00:00:00,,10003,New York,3-New York City (20 mi.),4,1236.00
2375095,2016-08-06 00:00:00,,19020,Pennsylvania,1-Philadelphia City (20 mi.),3,1232.00
2374997,2016-08-03 00:00:00,,19067,Pennsylvania,2-Greater Philadelphia(70 mi.),2,1230.00
2375832,2016-08-29 00:00:00,,18902,Pennsylvania,2-Greater Philadelphia(70 mi.),4,1225.00
2371689,2016-01-16 00:00:00,2016-02-08 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),5,1217.00
2375262,2016-08-13 00:00:00,2018-01-03 00:00:00,08043,New Jersey,1-Philadelphia City (20 mi.),6,1216.00
2381718,2016-09-30 00:00:00,,18934,Pennsylvania,2-Greater Philadelphia(70 mi.),6,1216.00
647367,2016-02-29 00:00:00,2020-03-27 00:00:00,19063,Pennsylvania,1-Philadelphia City (20 mi.),U,1204.00
2372370,2016-02-04 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),6,1196.00
2372878,2016-02-25 00:00:00,,75228,Texas,7-USA Balance,3,1196.00
2381305,2016-09-28 00:00:00,,07934,New Jersey,2-Greater Philadelphia(70 mi.),5,1194.00
2375204,2016-08-09 00:00:00,,10019,New York,3-New York City (20 mi.),3,1194.00
2375377,2016-08-18 00:00:00,,13104,New York,7-USA Balance,4,1192.00
2385985,2016-09-13 00:00:00,2017-03-27 00:00:00,19317,Pennsylvania,2-Greater Philadelphia(70 mi.),U,1187.00
2375725,2016-08-23 00:00:00,2017-05-05 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),5,1183.00
2379881,2016-09-21 00:00:00,,10014,New York,3-New York City (20 mi.),4,1182.00
407743,2016-04-23 00:00:00,,326054120,Florida,7-USA Balance,U,1182.00
2411922,2016-08-08 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),4,1164.00
2375767,2016-09-08 00:00:00,,19301,Pennsylvania,1-Philadelphia City (20 mi.),4,1164.00
2379097,2016-09-16 00:00:00,,08540,New Jersey,2-Greater Philadelphia(70 mi.),5,1156.00
2351770,2016-09-08 00:00:00,2015-04-27 00:00:00,06825,Connecticut,5-NEC (140 mi. from Philly),5,1155.00
2374808,2016-07-20 00:00:00,,19806,Delaware,2-Greater Philadelphia(70 mi.),3,1154.00
2375690,2016-08-21 00:00:00,,50023,Iowa,7-USA Balance,3,1152.00
2382682,2016-10-31 00:00:00,2020-05-06 00:00:00,10021,New York,3-New York City (20 mi.),5,1150.00
2321954,2016-04-07 00:00:00,,10024,New York,3-New York City (20 mi.),2,1147.00
2371928,2016-01-26 00:00:00,,18013,Pennsylvania,2-Greater Philadelphia(70 mi.),3,1135.00
2383132,2016-11-10 00:00:00,,19046,Pennsylvania,1-Philadelphia City (20 mi.),4,1128.00
2380286,2016-09-24 00:00:00,,190033213,Pennsylvania,1-Philadelphia City (20 mi.),4,1120.00
2402657,2016-09-21 00:00:00,,19085,Pennsylvania,1-Philadelphia City (20 mi.),4,1111.00
2383408,2016-11-29 00:00:00,,088522513,New Jersey,2-Greater Philadelphia(70 mi.),4,1105.00
2374809,2016-08-01 00:00:00,2018-02-18 00:00:00,60642,Illinois,7-USA Balance,6,1099.00
2381438,2016-09-29 00:00:00,,02420,Massachusetts,7-USA Balance,5,1096.00
2372910,2016-02-27 00:00:00,,19038,Pennsylvania,1-Philadelphia City (20 mi.),5,1095.00
2373077,2016-03-12 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),4,1078.20
2373519,2016-04-21 00:00:00,,08361,New Jersey,2-Greater Philadelphia(70 mi.),5,1074.00
2379639,2016-09-20 00:00:00,2016-09-20 00:00:00,20008,D.C.,4-DC (20 mi.),6,1074.00
