owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2388599,2017-07-30 00:00:00,,07039,New Jersey,3-New York City (20 mi.),U,9052.00
2388362,2017-02-23 00:00:00,2018-05-29 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),5,8296.00
2385774,2017-03-14 00:00:00,2017-05-11 00:00:00,19102,Pennsylvania,1-Philadelphia City (20 mi.),U,6098.00
2387037,2017-04-28 00:00:00,,19063,Pennsylvania,1-Philadelphia City (20 mi.),U,5449.00
2395553,2017-11-20 00:00:00,,18940,Pennsylvania,2-Greater Philadelphia(70 mi.),4,5397.00
2386478,2017-04-19 00:00:00,2017-12-19 00:00:00,20009,D.C.,4-DC (20 mi.),6,4999.00
2386327,2017-04-12 00:00:00,2017-07-24 00:00:00,19107,Pennsylvania,1-Philadelphia City (20 mi.),U,4986.00
2414443,2017-11-18 00:00:00,2018-02-19 00:00:00,10019,New York,3-New York City (20 mi.),5,4838.00
2385709,2017-03-08 00:00:00,2017-11-28 00:00:00,44333,Ohio,7-USA Balance,5,4686.00
2396183,2017-12-08 00:00:00,2018-12-19 00:00:00,19096,Pennsylvania,1-Philadelphia City (20 mi.),5,4476.00
2387308,2017-05-03 00:00:00,,19123,Pennsylvania,1-Philadelphia City (20 mi.),U,4065.00
2386719,2017-04-24 00:00:00,2020-03-30 00:00:00,08033,New Jersey,1-Philadelphia City (20 mi.),3,3526.00
2384898,2017-02-07 00:00:00,2020-05-05 00:00:00,19010,Pennsylvania,1-Philadelphia City (20 mi.),5,3504.00
2387291,2017-05-03 00:00:00,2017-05-03 00:00:00,19102,Pennsylvania,1-Philadelphia City (20 mi.),5,3500.00
2386716,2017-04-24 00:00:00,2017-04-24 00:00:00,200071452,D.C.,4-DC (20 mi.),4,3450.00
2387068,2017-04-29 00:00:00,,10016,New York,3-New York City (20 mi.),U,3397.00
2396736,2017-05-15 00:00:00,2019-11-13 00:00:00,77007,Texas,7-USA Balance,5,3350.00
2388306,2017-06-28 00:00:00,2017-06-28 00:00:00,08028,New Jersey,1-Philadelphia City (20 mi.),3,3234.00
2197731,2017-07-18 00:00:00,2015-10-02 00:00:00,18954,Pennsylvania,2-Greater Philadelphia(70 mi.),4,3230.00
2387842,2017-05-22 00:00:00,2017-05-22 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),3,3074.00
2384716,2017-02-02 00:00:00,,19355,Pennsylvania,2-Greater Philadelphia(70 mi.),4,2894.00
2385807,2017-03-20 00:00:00,2017-12-31 00:00:00,22201,Virginia,4-DC (20 mi.),6,2850.00
2384647,2017-01-30 00:00:00,2017-01-30 00:00:00,19035,Pennsylvania,1-Philadelphia City (20 mi.),5,2827.00
2392180,2017-09-08 00:00:00,2018-12-26 00:00:00,19403,Pennsylvania,1-Philadelphia City (20 mi.),4,2773.00
2386423,2017-04-21 00:00:00,,19128,Pennsylvania,1-Philadelphia City (20 mi.),3,2638.00
2389133,2017-08-16 00:00:00,2017-12-31 00:00:00,02111,Massachusetts,7-USA Balance,5,2611.00
2392056,2017-09-07 00:00:00,2017-09-16 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),6,2534.00
2388863,2017-05-28 00:00:00,2018-05-21 00:00:00,27703,North Carolina,7-USA Balance,U,2472.00
2386126,2017-04-03 00:00:00,,19958,Delaware,5-NEC (140 mi. from Philly),4,2430.00
