owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
1377497,2014-09-09 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1377725,2014-09-26 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$238,$0,Academy of Music,The Barber of Seville,2
1377933,2014-02-26 00:00:00,1,Phone,Ticketing,OP - US Mail,$0,$0,Perelman,Dialogues of the Carmelites,1
1378074,2014-02-03 00:00:00,1,Phone,Ticketing,OP - Will Call,$0,$0,Academy of Music,Ainadamar,2
1378074,2014-04-22 00:00:00,1,Phone,Ticketing,OP - Will Call,$0,$0,Academy of Music,Don Giovanni,2
1378103,2014-10-06 00:00:00,1,At the Performance,Ticketing,OP - US Mail,$139,$0,Academy of Music,The Barber of Seville,1
1378103,2014-06-04 00:00:00,1,Phone,Ticketing,Guest Services,$136,$0,Perelman,A Coffin in Egypt,1
1378298,2014-01-29 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$369,$0,Academy of Music,Ainadamar,3
1378349,2014-09-07 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,1
1379079,2014-10-02 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$59,$0,Academy of Music,The Barber of Seville,1
1379534,2014-09-23 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1379625,2014-09-04 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,9
1379625,2014-09-26 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,6
1379914,2014-02-24 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$266,$0,Academy of Music,Don Giovanni,2
1379919,2014-04-27 00:00:00,1,Phone,Ticketing,OP - Hold at Box Office,$0,$0,Academy of Music,Don Giovanni,0
1379932,2014-03-25 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$286,$0,Academy of Music,Don Giovanni,2
1380062,2014-11-12 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$138,$0,Academy of Music,Oscar,2
1380710,2014-09-04 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$98,$0,Academy of Music,The Barber of Seville,2
1380970,2014-04-04 00:00:00,1,Default Channel,xxTP Phone Sales,U.S. Mail,$102,$0,Academy of Music,Don Giovanni,2
