owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value,Lifetime Giving
1445483,2010-01-01 00:00:00,,18929,Pennsylvania,2-Greater Philadelphia(70 mi.),,90.00,
1622350,2010-01-02 00:00:00,,19148,Pennsylvania,1-Philadelphia City (20 mi.),,60.00,
1622273,2010-01-02 00:00:00,,94114,California,7-USA Balance,5,542.00,
1622491,2010-01-03 00:00:00,,08053,New Jersey,1-Philadelphia City (20 mi.),,192.00,
705347,2010-01-03 00:00:00,,085402421,New Jersey,2-Greater Philadelphia(70 mi.),,192.00,
1622575,2010-01-03 00:00:00,,19063,Pennsylvania,1-Philadelphia City (20 mi.),7,2236.00,
1622440,2010-01-03 00:00:00,,193559798,Pennsylvania,2-Greater Philadelphia(70 mi.),,118.00,
1561412,2010-01-04 00:00:00,,08205,New Jersey,2-Greater Philadelphia(70 mi.),,20.00,
1618353,2010-01-04 00:00:00,,100038250,New York,3-New York City (20 mi.),,192.00,
571970,2010-01-04 00:00:00,,190963928,Pennsylvania,1-Philadelphia City (20 mi.),,238.00,
1622809,2010-01-05 00:00:00,,11225,New York,3-New York City (20 mi.),,270.00,
536755,2010-01-05 00:00:00,,190312058,Pennsylvania,1-Philadelphia City (20 mi.),,0.00,
1622878,2010-01-05 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,270.00,
267019,2010-01-05 00:00:00,2012-01-10 00:00:00,191035844,Pennsylvania,1-Philadelphia City (20 mi.),4,190.00,$100
1480238,2010-01-05 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),,840.00,
217210,2010-01-05 00:00:00,,193122510,Pennsylvania,1-Philadelphia City (20 mi.),,0.00,
1594823,2010-01-05 00:00:00,,652017198,Missouri,7-USA Balance,,190.00,
1594772,2010-01-06 00:00:00,,19026,Pennsylvania,1-Philadelphia City (20 mi.),,95.00,
975866,2010-01-06 00:00:00,1993-11-17 00:00:00,191035832,Pennsylvania,1-Philadelphia City (20 mi.),7,190.00,$725
1608238,2010-01-06 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),,118.00,
1470557,2010-01-06 00:00:00,,19125,Pennsylvania,1-Philadelphia City (20 mi.),,192.00,
1623246,2010-01-06 00:00:00,,981181768,Washington,7-USA Balance,,190.00,
1546768,2010-01-07 00:00:00,,17250,Pennsylvania,5-NEC (140 mi. from Philly),,30.00,
