owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
413116,2019-04-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$1065,$10100,Academy of Music,Madame Butterfly,2
413116,2019-04-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$1065,$10100,Academy of Music,The Love for Three Oranges,1
413116,2019-04-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$1065,$10100,Academy of Music,Verdi's Requiem,1
413116,2019-04-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$1065,$10100,FringeArts,Let Me Die,1
413116,2019-04-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$1065,$10100,Perelman Theater,Semele,1
413116,2019-04-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$1065,$10100,Suzanne Roberts,Denis & Katya,1
820458,2019-04-18 00:00:00,1,Web,Ticketing,OP - US Mail,$1296,$5500,Academy of Music,Madame Butterfly,2
820458,2019-04-18 00:00:00,1,Web,Ticketing,OP - US Mail,$1296,$5500,Academy of Music,The Love for Three Oranges,2
820458,2019-04-18 00:00:00,1,Web,Ticketing,OP - US Mail,$1296,$5500,Academy of Music,Verdi's Requiem,2
971916,2019-04-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$1220,$5000,Academy of Music,Madame Butterfly,2
971916,2019-04-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$1220,$5000,Academy of Music,The Love for Three Oranges,2
971916,2019-04-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$1220,$5000,Academy of Music,Verdi's Requiem,2
15239,2019-04-11 00:00:00,1,Phone,Ticketing,OP - US Mail,$868,$3000,Academy of Music,Madame Butterfly,2
15239,2019-04-11 00:00:00,1,Phone,Ticketing,OP - US Mail,$868,$3000,Academy of Music,The Love for Three Oranges,2
15239,2019-04-11 00:00:00,1,Phone,Ticketing,OP - US Mail,$868,$3000,Academy of Music,Verdi's Requiem,2
15239,2019-04-11 00:00:00,1,Phone,Ticketing,OP - US Mail,$868,$3000,Perelman Theater,Semele,2
48480,2019-04-08 00:00:00,1,Mail,Ticketing,OP - US Mail,$1556,$3000,Academy of Music,Madame Butterfly,4
48480,2019-04-08 00:00:00,1,Mail,Ticketing,OP - US Mail,$1556,$3000,Academy of Music,The Love for Three Oranges,4
48480,2019-04-08 00:00:00,1,Mail,Ticketing,OP - US Mail,$1556,$3000,Academy of Music,Verdi's Requiem,4
1220576,2019-03-27 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1476,$2750,Academy of Music,Madame Butterfly,2
1220576,2019-03-27 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1476,$2750,Academy of Music,The Love for Three Oranges,2
1220576,2019-03-27 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1476,$2750,Academy of Music,Verdi's Requiem,2
1220576,2019-03-27 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1476,$2750,Perelman Theater,Semele,2
15174,2019-05-01 00:00:00,1,Phone,Ticketing,OP - US Mail,$688,$2500,Academy of Music,Madame Butterfly,2
15174,2019-05-01 00:00:00,1,Phone,Ticketing,OP - US Mail,$688,$2500,Academy of Music,The Love for Three Oranges,2
15174,2019-05-01 00:00:00,1,Phone,Ticketing,OP - US Mail,$688,$2500,Academy of Music,Verdi's Requiem,2
