owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
1665216,2020-02-27 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$144,$336,Academy of Music,Macbeth,2
1665216,2020-02-27 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$144,$336,Academy of Music,Oedipus Rex,2
1665216,2020-02-27 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$144,$336,Academy of Music,Tosca,2
1665216,2020-02-27 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$144,$336,Perelman Theater,Woman with Eyes Closed,2
1665216,2020-02-27 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$144,$336,The Barnes Foundation,El Cimarrón,2
123465,2020-02-27 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$160,$272,Academy of Music,Macbeth,2
123465,2020-02-27 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$160,$272,Academy of Music,Oedipus Rex,2
123465,2020-02-27 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$160,$272,Academy of Music,Tosca,2
121303,2020-02-28 00:00:00,1,Phone,Ticketing,OP - US Mail,$112,$256,Academy of Music,Macbeth,2
121303,2020-02-28 00:00:00,1,Phone,Ticketing,OP - US Mail,$112,$256,Academy of Music,Oedipus Rex,2
121303,2020-02-28 00:00:00,1,Phone,Ticketing,OP - US Mail,$112,$256,Academy of Music,Tosca,2
2413069,2020-02-26 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$200,Academy of Music,Madame Butterfly,1
218780,2020-02-29 00:00:00,1,Web,Ticketing Web Stbs,Hold at Box Office,$42,$176,Academy of Music,Macbeth,2
218780,2020-02-29 00:00:00,1,Web,Ticketing Web Stbs,Hold at Box Office,$42,$176,Academy of Music,Oedipus Rex,2
218780,2020-02-29 00:00:00,1,Web,Ticketing Web Stbs,Hold at Box Office,$42,$176,Academy of Music,Tosca,2
413171,2020-02-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$42,$176,Academy of Music,Macbeth,2
413171,2020-02-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$42,$176,Academy of Music,Oedipus Rex,2
413171,2020-02-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$42,$176,Academy of Music,Tosca,2
2410399,2020-02-28 00:00:00,1,Phone,Ticketing,OP - US Mail,($144),$144,Field Concert Hall,Curtis in Concert,1
2410399,2020-02-28 00:00:00,1,Phone,Ticketing,OP - US Mail,($144),$144,Helen Corning Warden Theater,Afternoons at AVA,1
2410399,2020-02-28 00:00:00,1,Phone,Ticketing,OP - US Mail,($144),$144,Perelman Theater,Woman with Eyes Closed,1
2410399,2020-02-28 00:00:00,1,Phone,Ticketing,OP - US Mail,($144),$144,The Barnes Foundation,El Cimarrón,1
918143,2020-02-27 00:00:00,1,Web,Ticketing,OP - US Mail,($137),$137,Academy of Music,Macbeth,1
918143,2020-02-27 00:00:00,1,Web,Ticketing,OP - US Mail,($137),$137,Field Concert Hall,Curtis in Concert,1
918143,2020-02-27 00:00:00,1,Web,Ticketing,OP - US Mail,($137),$137,Helen Corning Warden Theater,Afternoons at AVA,1
918143,2020-02-27 00:00:00,1,Web,Ticketing,OP - US Mail,($137),$137,Perelman Theater,Woman with Eyes Closed,1
918143,2020-02-27 00:00:00,1,Web,Ticketing,OP - US Mail,($137),$137,The Barnes Foundation,El Cimarrón,1
283030,2020-02-27 00:00:00,1,Phone,Ticketing,OP - US Mail,$48,$112,Academy of Music,Macbeth,2
283030,2020-02-27 00:00:00,1,Phone,Ticketing,OP - US Mail,$48,$112,Academy of Music,Oedipus Rex,2
283030,2020-02-27 00:00:00,1,Phone,Ticketing,OP - US Mail,$48,$112,Academy of Music,Tosca,2
792508,2020-02-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$26,$112,Academy of Music,Macbeth,2
792508,2020-02-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$26,$112,Academy of Music,Oedipus Rex,2
