owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
18251,2016-05-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$870,$6000,Academy of Music,Tancredi,2
18251,2016-05-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$870,$6000,Academy of Music,The Marriage of Figaro,2
18251,2016-05-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$870,$6000,Academy of Music,Turandot,2
18251,2016-05-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$870,$6000,Perelman Theater,Breaking the Waves,2
18251,2016-05-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$870,$6000,Prince Theater,Third World Bunfight: Macbeth,2
413116,2016-03-23 00:00:00,1,Mail,Ticketing,Guest Services,$560,$6000,Academy of Music,Tancredi,1
413116,2016-03-23 00:00:00,1,Mail,Ticketing,Guest Services,$560,$6000,Academy of Music,The Marriage of Figaro,1
413116,2016-03-23 00:00:00,1,Mail,Ticketing,Guest Services,$560,$6000,Academy of Music,Turandot,1
413116,2016-03-23 00:00:00,1,Mail,Ticketing,Guest Services,$560,$6000,Perelman Theater,Breaking the Waves,1
971916,2016-04-06 00:00:00,1,Mail,Ticketing,OP - US Mail,$1290,$5000,Academy of Music,Tancredi,2
971916,2016-04-06 00:00:00,1,Mail,Ticketing,OP - US Mail,$1290,$5000,Academy of Music,The Marriage of Figaro,2
971916,2016-04-06 00:00:00,1,Mail,Ticketing,OP - US Mail,$1290,$5000,Academy of Music,Turandot,2
2202917,2016-03-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$630,$5000,Academy of Music,Tancredi,1
2202917,2016-03-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$630,$5000,Academy of Music,The Marriage of Figaro,1
2202917,2016-03-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$630,$5000,Academy of Music,Turandot,1
2202917,2016-03-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$630,$5000,Perelman Theater,Breaking the Waves,1
2202917,2016-03-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$630,$5000,Prince Theater,Third World Bunfight: Macbeth,1
2249854,2016-03-09 00:00:00,1,Phone,Ticketing,OP - US Mail,$1626,$5000,Academy of Music,Tancredi,2
2249854,2016-03-09 00:00:00,1,Phone,Ticketing,OP - US Mail,$1626,$5000,Academy of Music,The Marriage of Figaro,2
2249854,2016-03-09 00:00:00,1,Phone,Ticketing,OP - US Mail,$1626,$5000,Academy of Music,Turandot,2
2249854,2016-03-09 00:00:00,1,Phone,Ticketing,OP - US Mail,$1626,$5000,Perelman Theater,Breaking the Waves,2
