owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2307895,2014-09-02 00:00:00,2015-03-17 00:00:00,33134,Florida,7-USA Balance,8,29997.00
1601821,2014-03-11 00:00:00,,19382,Pennsylvania,2-Greater Philadelphia(70 mi.),3,14400.70
2249854,2014-05-10 00:00:00,2014-05-13 00:00:00,19119,Pennsylvania,1-Philadelphia City (20 mi.),5,11584.00
2149845,2014-08-18 00:00:00,2015-12-04 00:00:00,18940,Pennsylvania,2-Greater Philadelphia(70 mi.),4,9634.00
2052298,2014-08-19 00:00:00,2015-12-30 00:00:00,19702,Delaware,2-Greater Philadelphia(70 mi.),4,8475.00
668518,2014-08-28 00:00:00,2008-05-30 00:00:00,085405252,New Jersey,2-Greater Philadelphia(70 mi.),5,8455.00
564365,2014-01-28 00:00:00,2019-03-26 00:00:00,083230082,New Jersey,2-Greater Philadelphia(70 mi.),2,8313.00
2202917,2014-05-12 00:00:00,2015-04-30 00:00:00,191075148,Pennsylvania,1-Philadelphia City (20 mi.),4,8198.62
2226495,2014-09-12 00:00:00,2016-01-04 00:00:00,08109,New Jersey,1-Philadelphia City (20 mi.),5,6514.00
1671186,2014-02-07 00:00:00,,19131,Pennsylvania,1-Philadelphia City (20 mi.),,6338.00
688426,2014-08-13 00:00:00,2016-03-16 00:00:00,200096034,D.C.,4-DC (20 mi.),3,6267.00
1522012,2014-09-02 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),3,5957.00
29605,2014-01-28 00:00:00,,19083,Pennsylvania,1-Philadelphia City (20 mi.),4,5652.50
2168112,2014-01-25 00:00:00,2017-10-26 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),5,5630.00
2229012,2014-09-21 00:00:00,,19464,Pennsylvania,2-Greater Philadelphia(70 mi.),2,5473.00
2197534,2014-01-02 00:00:00,2016-09-02 00:00:00,19046,Pennsylvania,1-Philadelphia City (20 mi.),5,5410.00
2138804,2014-02-14 00:00:00,,19145,Pennsylvania,1-Philadelphia City (20 mi.),U,5304.00
788614,2014-07-11 00:00:00,,080032631,New Jersey,1-Philadelphia City (20 mi.),,5024.00
503212,2014-08-09 00:00:00,2017-09-16 00:00:00,08043,New Jersey,1-Philadelphia City (20 mi.),U,5000.00
1193016,2014-06-12 00:00:00,,08054,New Jersey,1-Philadelphia City (20 mi.),3,4838.00
2203648,2014-05-16 00:00:00,2017-11-27 00:00:00,20181,Virginia,6-NEC (210 mi. from Philly),5,4506.00
1807006,2014-09-24 00:00:00,2015-09-28 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),3,4327.00
