owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
746235,2015-03-20 00:00:00,1,Mail,Ticketing,OP - US Mail,$1023,$10000,Academy of Music,Cold Mountain,2
746235,2015-03-20 00:00:00,1,Mail,Ticketing,OP - US Mail,$1023,$10000,Academy of Music,La traviata,2
746235,2015-03-20 00:00:00,1,Mail,Ticketing,OP - US Mail,$1023,$10000,Academy of Music,The Elixir of Love,2
746235,2015-03-20 00:00:00,1,Mail,Ticketing,OP - US Mail,$1023,$10000,General Admission,$50 Bonus Voucher,2
746235,2015-03-20 00:00:00,1,Mail,Ticketing,OP - US Mail,$1023,$10000,Perelman Theater,Capriccio,2
18251,2015-06-09 00:00:00,1,Phone,Ticketing,Guest Services,$747,$6000,Academy of Music,Cold Mountain,2
18251,2015-06-09 00:00:00,1,Phone,Ticketing,Guest Services,$747,$6000,Academy of Music,La traviata,2
18251,2015-06-09 00:00:00,1,Phone,Ticketing,Guest Services,$747,$6000,Academy of Music,The Elixir of Love,2
18251,2015-06-09 00:00:00,1,Phone,Ticketing,Guest Services,$747,$6000,General Admission,$50 Bonus Voucher,2
18251,2015-06-09 00:00:00,1,Phone,Ticketing,Guest Services,$747,$6000,Perelman Theater,Capriccio,2
8708,2015-03-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$1260,$5000,Academy of Music,Cold Mountain,3
8708,2015-03-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$1260,$5000,Academy of Music,La traviata,3
8708,2015-03-17 00:00:00,1,Phone,Ticketing,OP - US Mail,$1260,$5000,Academy of Music,The Elixir of Love,3
39800,2015-02-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$2788,$5000,Academy of Music,Cold Mountain,4
39800,2015-02-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$2788,$5000,Academy of Music,La traviata,4
39800,2015-02-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$2788,$5000,Academy of Music,The Elixir of Love,4
39800,2015-02-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$2788,$5000,General Admission,$50 Bonus Voucher,2
39800,2015-02-25 00:00:00,1,Mail,Ticketing,OP - US Mail,$2788,$5000,Perelman Theater,Capriccio,2
413116,2015-03-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$514.5,$4400,Academy of Music,Cold Mountain,1
413116,2015-03-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$514.5,$4400,Academy of Music,La traviata,1
413116,2015-03-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$514.5,$4400,Academy of Music,The Elixir of Love,1
413116,2015-03-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$514.5,$4400,General Admission,$50 Bonus Voucher,1
413116,2015-03-27 00:00:00,1,Mail,Ticketing,OP - US Mail,$514.5,$4400,Perelman Theater,Capriccio,1
48480,2015-03-17 00:00:00,1,Mail,Ticketing,OP - US Mail,$2580,$4000,Academy of Music,Cold Mountain,4
48480,2015-03-17 00:00:00,1,Mail,Ticketing,OP - US Mail,$2580,$4000,Academy of Music,La traviata,4
48480,2015-03-17 00:00:00,1,Mail,Ticketing,OP - US Mail,$2580,$4000,Academy of Music,The Elixir of Love,4
200933,2015-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$374,$3000,Academy of Music,Cold Mountain,2
200933,2015-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$374,$3000,Academy of Music,La traviata,2
200933,2015-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$374,$3000,Academy of Music,The Elixir of Love,2
200933,2015-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$374,$3000,General Admission,$50 Bonus Voucher,2
200933,2015-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$374,$3000,Perelman Theater,Capriccio,2
971272,2015-09-10 00:00:00,1,Internal Request,Ticketing,OP - US Mail,$560,$3000,Academy of Music,La traviata,6
