owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2283876,2015-01-29 00:00:00,2015-09-17 00:00:00,19027,Pennsylvania,1-Philadelphia City (20 mi.),6,18020.00
2337272,2015-08-14 00:00:00,2015-08-19 00:00:00,19041,Pennsylvania,1-Philadelphia City (20 mi.),4,14345.00
2371328,2015-08-23 00:00:00,2014-08-12 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),7,11454.60
2315545,2015-04-13 00:00:00,2016-08-06 00:00:00,101281235,New York,3-New York City (20 mi.),6,10523.00
2346619,2015-09-28 00:00:00,2015-11-30 00:00:00,08003,New Jersey,1-Philadelphia City (20 mi.),6,7630.00
2335868,2015-08-03 00:00:00,2017-09-06 00:00:00,19027,Pennsylvania,1-Philadelphia City (20 mi.),6,7059.00
65220,2015-10-10 00:00:00,2014-07-28 00:00:00,191283804,Pennsylvania,1-Philadelphia City (20 mi.),3,5844.24
2348470,2015-10-03 00:00:00,2015-10-03 00:00:00,19130,Pennsylvania,1-Philadelphia City (20 mi.),U,5283.00
2346411,2015-09-28 00:00:00,2017-12-28 00:00:00,19145,Pennsylvania,1-Philadelphia City (20 mi.),3,5040.00
2327364,2015-02-03 00:00:00,2020-01-23 00:00:00,19130,Pennsylvania,1-Philadelphia City (20 mi.),4,4985.50
2335784,2015-08-02 00:00:00,2016-02-16 00:00:00,37919,Tennessee,7-USA Balance,4,4947.00
2386419,2015-06-26 00:00:00,2020-05-01 00:00:00,19147,Pennsylvania,1-Philadelphia City (20 mi.),3,4785.00
2346606,2015-09-28 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),5,4442.00
668587,2015-08-22 00:00:00,2016-02-20 00:00:00,19127,Pennsylvania,1-Philadelphia City (20 mi.),5,4435.00
1807631,2015-05-30 00:00:00,2015-12-01 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),5,4406.50
2228046,2015-09-15 00:00:00,2019-03-09 00:00:00,19096,Pennsylvania,1-Philadelphia City (20 mi.),5,4260.80
2292317,2015-02-05 00:00:00,2017-05-05 00:00:00,10022,New York,3-New York City (20 mi.),4,4243.00
979790,2015-06-15 00:00:00,2001-05-23 00:00:00,194383106,Pennsylvania,2-Greater Philadelphia(70 mi.),U,4019.20
7132,2015-01-31 00:00:00,2020-03-25 00:00:00,080485279,New Jersey,1-Philadelphia City (20 mi.),4,3848.00
2313276,2015-04-03 00:00:00,,21228,Maryland,5-NEC (140 mi. from Philly),3,3836.00
91711,2015-02-11 00:00:00,2018-03-21 00:00:00,190262404,Pennsylvania,1-Philadelphia City (20 mi.),3,3832.00
2217860,2015-03-31 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),1,3730.00
1389729,2015-11-04 00:00:00,2017-06-05 00:00:00,22101,Virginia,4-DC (20 mi.),4,3696.00
2310013,2015-03-24 00:00:00,2016-02-22 00:00:00,18901,Pennsylvania,2-Greater Philadelphia(70 mi.),4,3439.00
2344327,2015-09-20 00:00:00,2019-02-07 00:00:00,21078,Maryland,2-Greater Philadelphia(70 mi.),3,3408.00
2344108,2015-09-19 00:00:00,2017-04-19 00:00:00,17821,Pennsylvania,5-NEC (140 mi. from Philly),3,3368.00
2322591,2015-05-15 00:00:00,2017-03-04 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),5,3228.00
260991,2015-02-02 00:00:00,2015-02-02 00:00:00,08033,New Jersey,1-Philadelphia City (20 mi.),U,3216.00
1331736,2015-04-23 00:00:00,2016-05-03 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),2,3142.20
2336102,2015-08-05 00:00:00,2015-08-05 00:00:00,223046008,Virginia,4-DC (20 mi.),4,2942.00
2281177,2015-01-04 00:00:00,2020-05-05 00:00:00,445052216,Ohio,7-USA Balance,3,2901.00
391996,2015-09-27 00:00:00,,193802230,Pennsylvania,2-Greater Philadelphia(70 mi.),3,2832.00
2342428,2015-09-12 00:00:00,,08003,New Jersey,1-Philadelphia City (20 mi.),3,2706.00
2318992,2015-09-29 00:00:00,,19301,Pennsylvania,1-Philadelphia City (20 mi.),3,2702.00
19487,2015-10-07 00:00:00,2018-09-19 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),8,2695.00
